code,name,trade_date,auction_pct,open_pct,close_pct,excess_return,dailyline_found,prev_close,day_open,day_high,day_low,day_close
603318,水发燃气,2026-04-28,3.75,3.75,9.98,6.23,True,12.53,13.0,13.78,12.55,13.78
600338,西藏珠峰,2026-04-28,0.36,0.36,1.09,0.73,True,24.83,24.92,26.0,24.53,25.1
600206,有研新材,2026-04-28,-0.67,-0.67,-0.26,0.41,True,26.7,26.52,27.4,25.75,26.63
001332,锡装股份,2026-04-28,0.18,0.18,2.34,2.16,True,62.83,62.94,65.88,61.68,64.3
600433,冠豪高新,2026-04-28,0.0,0.0,2.73,2.73,True,4.4,4.4,4.63,4.27,4.52
603125,常青科技,2026-04-28,3.45,3.45,4.75,1.3,True,21.48,22.22,23.27,21.02,22.5
600410,华胜天成,2026-04-28,-9.92,-9.92,-10.0,-0.08,True,26.0,23.42,24.53,23.4,23.4
600726,华电能源,2026-04-28,-0.78,-0.78,10.03,10.81,True,6.38,6.33,7.02,6.27,7.02
600770,综艺股份,2026-04-28,-3.59,-3.59,10.06,13.65,True,6.96,6.71,7.66,6.62,7.66
000066,中国长城,2026-04-28,-0.83,-0.83,6.32,7.15,True,16.77,16.63,18.2,16.58,17.83
601869,长飞光纤,2026-04-28,-1.85,-1.85,-1.06,0.79,True,377.5,370.51,381.16,368.0,373.49
002218,拓日新能,2026-04-28,10.02,10.02,10.02,0.0,True,5.19,5.71,5.71,5.62,5.71
001266,宏英智能,2026-04-28,10.01,10.01,10.01,0.0,True,32.66,35.93,35.93,35.93,35.93
300905,宝丽迪,2026-04-28,18.25,18.25,20.0,1.75,True,55.85,66.04,67.02,66.0,67.02
000062,深圳华强,2026-04-28,1.35,1.35,-4.16,-5.51,True,37.77,38.28,39.2,35.74,36.2
688530,欧莱新材,2026-04-28,8.23,8.23,17.73,9.5,True,46.2,50.0,55.22,47.87,54.39
002210,飞马国际,2026-04-28,7.3,7.3,9.85,2.55,True,2.74,2.94,3.01,2.8,3.01
603501,豪威集团,2026-04-28,2.22,2.22,-0.71,-2.93,True,104.63,106.95,106.95,103.4,103.89
603259,药明康德,2026-04-28,9.93,9.93,10.0,0.07,True,100.52,110.5,110.57,108.02,110.57
002902,铭普光磁,2026-04-28,3.64,3.64,10.0,6.36,True,28.61,29.65,31.47,29.18,31.47
002297,博云新材,2026-04-28,2.29,2.29,9.99,7.7,True,20.53,21.0,22.58,19.53,22.58
002115,三维通信,2026-04-28,3.45,3.45,5.03,1.58,True,13.33,13.79,14.26,13.39,14.0
003036,泰坦股份,2026-04-28,0.41,0.41,-8.44,-8.85,True,36.95,37.1,38.25,33.55,33.83
603579,荣泰健康,2026-04-28,1.13,1.13,1.99,0.86,True,22.08,22.33,22.75,21.83,22.52
605138,盛泰集团,2026-04-28,0.0,0.0,3.5,3.5,True,7.43,7.43,7.95,7.43,7.69
000565,渝三峡Ａ,2026-04-28,1.5,,,,False,,,,,
600768,宁波富邦,2026-04-28,1.67,,,,False,,,,,
603026,石大胜华,2026-04-28,-1.99,-1.99,-0.81,1.18,True,109.3,107.12,111.09,104.86,108.41
002154,报 喜 鸟,2026-04-28,-1.25,,,,False,,,,,
000593,德龙汇能,2026-04-28,3.76,3.76,9.99,6.23,True,23.13,24.0,25.44,23.6,25.44
002378,章源钨业,2026-04-28,3.99,3.99,2.05,-1.94,True,29.33,30.5,31.3,29.55,29.93
600152,维科技术,2026-04-28,2.03,2.03,10.03,8.0,True,14.26,14.55,15.69,14.55,15.69
