rank,code,name,action_type,action_quality,action_reason,setup_v72,setup_reason,final_score,action_score,expected_return_score,action_confidence,action_priority,auction_strength,auction_alpha_score,source_evidence_score,price_intent_score,money_intent_score,orderbook_quality_score,liquidity_score,source_families,hits_count,auction_amount_wan,auction_turnover_pct,auction_pct,qiangchou_primary_signal,qiangchou_920_925_rank,qiangchou_last_second_rank,vratio_rank,net_amount_rank,fengdan_status,fengdan_rank,theme_strength_t0,hotness_score,risk_flag,risk_penalty,t1_multiplier,stock_t1_label,stock_t1_reason,stock_t1_super_ratio,stock_t1_main_inflow_wan,tech_profile,pct_chg_t1,vol_ratio_t1,distance_to_ma20,prev_close,day_open,day_close,open_pct,close_pct,excess_return
1,002498,汉缆股份,AUCTION_FOLLOW,main_attack,healthy_cost_auction_follow_through,T0-NEW,new_t0_auction_candidate,58.01,59.18,52.02,medium,10,74.54,64.82,38.78,100.0,100.0,45.0,100.0,qiangchou_920_925|net_amount,2,6229.0,0.54,2.07,9:20-9:25,1,,,12,none,,20.0,45.6,False,1.0,1.0,miss,missing_in_cashflow_today,,,healthy,-5.7143,1.3342700517055988,0.04424682197610364,10.15,10.36,9.57,2.07,-5.71,-7.78
2,300302,同有科技,AUCTION_FOLLOW,main_attack,healthy_cost_auction_follow_through,T0-NEW,new_t0_auction_candidate,53.88,55.25,49.33,medium,10,70.02,60.88,30.91,100.0,94.08,45.0,100.0,qiangchou_920_925|net_amount,2,4429.0,0.32,3.02,9:20-9:25,2,,,28,none,,20.0,,False,1.0,0.96,miss,missing_in_cashflow_today,,,weak,2.815,1.4826051342169908,0.45449797623710664,43.34,44.65,44.56,3.02,2.81,-0.21
3,002407,多氟多,AUCTION_FOLLOW,main_attack,healthy_cost_auction_follow_through,T0-GENERAL,weak_or_single_factor_watch,50.63,48.86,44.76,medium,10,62.68,54.5,15.03,100.0,89.97,45.0,100.0,vratio|net_amount,2,15463.0,0.44,5.94,,,,28,5,none,,20.0,70.0,False,1.0,0.96,miss,missing_in_cashflow_today,,,weak,10.0151,1.1011640964857003,0.08544897169558602,33.15,35.12,36.47,5.94,10.02,4.08
4,300959,线上线下,AUCTION_FOLLOW,main_attack,healthy_cost_auction_follow_through,T0-GENERAL,weak_or_single_factor_watch,45.9,44.75,38.16,low,10,55.86,53.36,20.85,100.0,82.8,45.0,89.68,qiangchou_920_925,1,2484.0,0.42,5.83,9:20-9:25,5,,,,none,,20.0,,False,1.0,1.0,miss,missing_in_cashflow_today,,,breakout,10.807,1.6016461479038069,0.6059516956818286,149.81,158.55,166.0,5.83,10.81,4.98
5,605020,永和股份,MOMENTUM_CATCHUP,momentum,strong_auction_momentum_incomplete_theme_or_source,T0-GENERAL,weak_or_single_factor_watch,42.41,61.58,66.69,high,15,61.72,53.67,11.92,100.0,100.0,45.0,100.0,vratio,1,9889.0,1.03,3.78,,,,5,,none,33,20.0,0.0,False,1.0,0.94,hit_top_retail,,1.178343949044586,15700.0,churn_high_volume,-0.4724,3.6272512281530087,0.15545642356984873,31.75,32.95,31.6,3.78,-0.47,-4.25
6,688143,长盈通,MOMENTUM_CATCHUP,momentum,strong_auction_momentum_incomplete_theme_or_source,T0-GENERAL,weak_or_single_factor_watch,44.53,57.32,62.65,medium,15,53.96,46.92,1.36,100.0,89.71,45.0,100.0,vratio,1,6172.0,0.69,2.62,,,,20,63,none,,20.0,,False,1.0,1.0,miss,missing_in_cashflow_today,,,breakout,18.1223,2.3549418688194947,0.49471255793392616,91.6,94.0,108.2,2.62,18.12,15.5
7,002297,博云新材,MOMENTUM_CATCHUP,momentum,strong_auction_momentum_incomplete_theme_or_source,T0-GENERAL,weak_or_single_factor_watch,41.04,55.99,61.79,medium,15,51.06,44.4,0.0,100.0,88.26,45.0,100.0,,0,5485.0,0.45,4.01,,,,,53,none,,20.0,45.6,False,1.0,0.96,miss,missing_in_cashflow_today,,,weak,3.7736,0.8477384080842614,0.16672684600108317,24.91,25.91,25.85,4.01,3.77,-0.24
8,301486,致尚科技,MOMENTUM_CATCHUP,momentum,strong_auction_momentum_incomplete_theme_or_source,T0-GENERAL,weak_or_single_factor_watch,40.16,55.6,61.64,medium,15,50.22,43.67,0.0,100.0,84.58,45.0,100.0,,0,6684.0,0.48,4.09,,,,78,57,none,,20.0,,False,1.0,0.96,hit_top_retail,,0.9831932773109243,11900.0,weak,8.5166,1.259948773711849,0.2072582705700614,237.3,247.0,257.51,4.09,8.52,4.43
9,688535,华海诚科,MOMENTUM_CATCHUP,momentum,strong_auction_momentum_incomplete_theme_or_source,T0-GENERAL,weak_or_single_factor_watch,44.38,51.94,56.75,medium,15,53.76,46.75,0.0,100.0,100.0,45.0,100.0,,0,3111.0,0.33,5.62,,,,72,,none,,20.0,,False,1.0,1.0,miss,missing_in_cashflow_today,,,breakout,15.4882,2.7658398700285214,0.13731141519901058,115.83,122.34,133.77,5.62,15.49,9.87
10,601991,大唐发电,LOW_OPEN_REVERSAL,repair,low_open_repair_with_premarket_support,T0-REVERSAL,low_open_reversal_separate_pool,45.88,77.15,63.4,high,30,47.51,45.25,25.0,35.0,100.0,45.0,90.0,net_amount,1,40149.0,1.83,-2.92,,,,,1,none,,20.0,100.0,False,1.0,1.0,miss,missing_in_cashflow_today,,,breakout,10.0,3.4954206828649665,0.5979017451830928,7.2,6.99,7.92,-2.92,10.0,12.92
