version,rank,code,name,action_type,final_score,expected_return_score,auction_pct,close_pct,excess_return
092956,1,000880,潍柴重机,AUCTION_FOLLOW,63.06,50.44,7.14,10.0,2.86
092956,2,603108,润达医疗,MOMENTUM_CATCHUP,48.48,63.09,4.64,2.5879,-2.05
092956,3,688449,联芸科技,MOMENTUM_CATCHUP,37.4,62.93,5.65,20.0054,14.36
092956,4,001896,豫能控股,MOMENTUM_CATCHUP,39.77,62.54,2.29,-8.0914,-10.38
092956,5,603986,兆易创新,THEME_CATCHUP,43.75,52.32,0.85,10.001,9.15
092956,6,002785,万里石,THEME_CATCHUP,32.71,36.84,1.05,-0.4856,-1.54
092956,7,002030,达安基因,THEME_CATCHUP,26.84,28.11,1.81,3.6145,1.8
092956,8,600785,新华百货,THEME_CATCHUP,25.86,27.83,1.65,-4.6205,-6.27
092956,9,000026,飞亚达,THEME_CATCHUP,27.9,19.6,1.13,-1.8902,-3.02
092956,10,600578,京能电力,LOW_OPEN_REVERSAL,41.44,60.34,-3.02,-10.0363,-7.02
092956,11,002208,合肥城建,LOW_OPEN_REVERSAL,36.94,57.7,-4.34,3.0255,7.37
092956,12,300302,同有科技,LOW_OPEN_REVERSAL,33.21,59.75,-3.2,-3.6027,-0.4
092956,13,600208,衢州发展,LOW_OPEN_REVERSAL,32.34,60.3,-10.1,-10.101,-0.0
092956,14,605299,舒华体育,LOW_OPEN_REVERSAL,21.83,57.11,-9.78,-9.9756,-0.2
092956,15,002384,东山精密,LOW_OPEN_REVERSAL,25.73,56.56,-0.89,0.4143,1.3
092956,16,300166,东方国信,BROAD_REPAIR_MOMENTUM,0.0,53.41,1.35,-5.084,-6.43
092956,17,688545,兴福电子,BROAD_REPAIR_MOMENTUM,0.0,50.8,0.23,-0.9164,-1.15
092956,18,301531,春光集团,BROAD_REPAIR_MOMENTUM,0.0,50.47,-1.5,1.0589,2.56
092956,19,600563,法拉电子,BROAD_REPAIR_MOMENTUM,0.0,50.52,2.0,10.0,8.0
092956,20,601678,滨化股份,BROAD_REPAIR_MOMENTUM,0.0,48.17,0.32,3.5541,3.23
092956,21,688361,中科飞测,BROAD_REPAIR_MOMENTUM,0.0,52.19,4.31,17.4331,13.12
092956,22,002273,水晶光电,BROAD_REPAIR_MOMENTUM,0.0,48.8,1.38,3.0099,1.63
092956,23,688072,拓荆科技,BROAD_REPAIR_MOMENTUM,0.0,51.89,2.72,14.4072,11.69
092956,24,688808,联讯仪器,BROAD_REPAIR_MOMENTUM,0.0,50.33,-0.07,12.5032,12.57
092956,25,688521,芯原股份,BROAD_REPAIR_MOMENTUM,0.0,50.18,-1.64,-1.7072,-0.07
092956,26,688256,寒武纪,BROAD_REPAIR_MOMENTUM,0.0,50.33,-1.46,3.2755,4.74
092956,27,000938,紫光股份,BROAD_REPAIR_MOMENTUM,0.0,50.01,-0.62,-0.8618,-0.24
092956,28,300394,天孚通信,BROAD_REPAIR_MOMENTUM,0.0,49.89,-0.75,-1.1047,-0.35
092956,29,002466,天齐锂业,BROAD_REPAIR_MOMENTUM,0.0,48.73,-1.23,2.3731,3.6
092956,30,601991,大唐发电,BROAD_REPAIR_MOMENTUM,0.0,55.09,-9.79,-10.0239,-0.23
183925,1,002785,万里石,DYNAMIC_THEME_REPAIR,35.46,57.57,1.05,-0.4856,-1.54
183925,2,301696,三瑞智能,LOW_COST_20CM_ELASTIC,36.73,62.03,1.21,-0.2305,-1.44
183925,3,301531,春光集团,LOW_COST_20CM_ELASTIC,32.66,61.14,-1.5,1.0589,2.56
183925,4,300657,弘信电子,LOW_COST_20CM_ELASTIC,0.0,62.54,7.7,-0.9217,-8.62
183925,5,688545,兴福电子,LOW_COST_20CM_ELASTIC,0.0,57.93,0.23,-0.9164,-1.15
183925,6,300308,中际旭创,LOW_COST_20CM_ELASTIC,0.0,61.34,-1.06,0.6796,1.74
183925,7,688611,杭州柯林,LOW_COST_20CM_ELASTIC,0.0,53.57,6.9,-1.2314,-8.13
183925,8,688308,欧科亿,LOW_COST_20CM_ELASTIC,0.0,60.42,5.54,-2.0509,-7.59
183925,9,300394,天孚通信,LOW_COST_20CM_ELASTIC,0.0,57.81,-0.75,-1.1047,-0.35
183925,10,300319,麦捷科技,LOW_COST_20CM_ELASTIC,0.0,48.87,1.15,0.3592,-0.79
183925,11,300502,新易盛,LOW_COST_20CM_ELASTIC,0.0,62.11,0.5,2.7022,2.2
183925,12,688256,寒武纪,LOW_COST_20CM_ELASTIC,0.0,62.02,-1.46,3.2755,4.74
183925,13,688521,芯原股份,LOW_COST_20CM_ELASTIC,0.0,60.07,-1.64,-1.7072,-0.07
183925,14,688183,生益电子,LOW_COST_20CM_ELASTIC,0.0,47.03,2.0,-0.3445,-2.34
183925,15,300964,本川智能,LOW_COST_20CM_ELASTIC,0.0,46.0,1.71,2.8014,1.09
183925,16,300062,中能电气,LOW_COST_20CM_ELASTIC,0.0,48.22,1.44,2.1583,0.72
183925,17,000021,深科技,LOW_COST_ELASTIC_CATCHUP,36.96,64.26,1.88,0.4778,-1.4
183925,18,002138,顺络电子,LOW_COST_ELASTIC_CATCHUP,0.0,55.54,3.72,0.1509,-3.57
183925,19,603156,养元饮品,LOW_COST_ELASTIC_CATCHUP,0.0,52.71,4.01,1.4268,-2.58
183925,20,002384,东山精密,LOW_COST_ELASTIC_CATCHUP,0.0,58.41,-0.89,0.4143,1.3
183925,21,600118,中国卫星,LOW_COST_ELASTIC_CATCHUP,0.0,56.89,-2.56,-0.9974,1.56
183925,22,002208,合肥城建,LOW_COST_ELASTIC_CATCHUP,42.33,61.58,-4.34,3.0255,7.37
183925,23,002273,水晶光电,LOW_COST_ELASTIC_CATCHUP,0.0,55.22,1.38,3.0099,1.63
183925,24,603108,润达医疗,LOW_COST_ELASTIC_CATCHUP,48.48,59.27,4.64,2.5879,-2.05
183925,25,002149,西部材料,LOW_COST_ELASTIC_CATCHUP,0.0,53.76,-2.08,1.2456,3.33
183925,26,000988,华工科技,LOW_COST_ELASTIC_CATCHUP,31.62,62.28,0.01,3.1692,3.16
183925,27,000938,紫光股份,LOW_COST_ELASTIC_CATCHUP,0.0,52.92,-0.62,-0.8618,-0.24
183925,28,603601,再升科技,LOW_COST_ELASTIC_CATCHUP,0.0,58.87,-0.44,-2.1679,-1.73
183925,29,603311,金海高科,LOW_COST_ELASTIC_CATCHUP,51.82,46.44,-4.15,2.3614,6.51
183925,30,002354,天娱数科,LOW_COST_ELASTIC_CATCHUP,0.0,51.33,-0.42,-2.244,-1.82
