date,code,regime,action,risk_flag,amt,edge_old,final,y_excess,y_hold,y_t1close,amt_pct,auction_strength,liquidity,money,pressure_score,weimai_strength,orderbook,low_cost,theme_strength_t0,market_env_score,cashflow_continuity_score,longtou_score,net_pressure,latest_change_pct,source_evidence_score,auction_amount_wan,net_amount_rank,qiangchou_920_925_rank,qiangchou_last_second_rank,deriv.auc_minus_8xopen,deriv.lowopen_strength,deriv.money_x_liq,deriv.amt_x_auc,xr.amt_pct,xr.auction_strength,xr.liquidity,xr.money,xr.pressure_score,xr.weimai_strength,xr.orderbook,xr.low_cost,xr.theme_strength_t0,xr.market_env_score,xr.cashflow_continuity_score,xr.longtou_score,xr.net_pressure,xr.latest_change_pct,xr.source_evidence_score,xr.auction_amount_wan,xr.net_amount_rank,xr.qiangchou_920_925_rank,xr.qiangchou_last_second_rank,xr.deriv.auc_minus_8xopen,xr.deriv.lowopen_strength,xr.deriv.money_x_liq,xr.deriv.amt_x_auc
2026-05-21,000100,"{'label': 'cold', 'reason': 'qx=27.0, dt=4.0, kqxy=0.0, breadth=0.21292460646230324', 'qx_t0': 27.0, 'qx_t1': 32.0, 'dt_t0': 4.0, 'kqxy_t0': 0.0, 'sz_t0': 1028.0, 'xd_t0': 3800.0, 'breadth_t0': 0.21292460646230324, 'lbbx_t0': 3.41, 'lbbx_t1': 4.08, 'ztbx_t0': 1.65, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",BUY,1,98.57143,86.72,64.49,-4.49173,-3.94737,0.22883,98.57143,86.29,100.0,93.71,79.04,39.8,45.0,65.35,20.0,43.56,45.0,0.0,0.00158,3.31,55.82,25425.0,2.0,3.0,11.0,59.81,0.0,93.71,85.05729,99.01235,100.0,90.12346,84.93827,94.32099,99.01235,7.90123,76.54321,0.0,0.0,11.85185,0.0,59.64912,85.39604,99.75309,98.57143,1.75439,33.33333,17.64706,75.74257,0.0,89.87654,100.0
2026-05-21,601991,"{'label': 'cold', 'reason': 'qx=27.0, dt=4.0, kqxy=0.0, breadth=0.21292460646230324', 'qx_t0': 27.0, 'qx_t1': 32.0, 'dt_t0': 4.0, 'kqxy_t0': 0.0, 'sz_t0': 1028.0, 'xd_t0': 3800.0, 'breadth_t0': 0.21292460646230324, 'lbbx_t0': 3.41, 'lbbx_t1': 4.08, 'ztbx_t0': 1.65, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",WATCH,1,98.92857,79.65,36.39,1.98939,-0.14493,-2.2695,98.92857,45.35,100.0,100.0,100.0,0.0,45.0,20.0,20.0,43.56,45.0,0.0,0.00468,-6.5,16.97,33585.0,4.0,,,97.35,45.35,100.0,44.86411,99.25926,96.04938,90.37037,87.40741,95.30864,0.0,8.14815,25.4321,0.24691,0.24691,12.09877,0.24691,91.22807,18.81188,95.55556,98.92857,5.26316,,,97.77228,99.50495,91.60494,98.02469
2026-05-21,300657,"{'label': 'cold', 'reason': 'qx=27.0, dt=4.0, kqxy=0.0, breadth=0.21292460646230324', 'qx_t0': 27.0, 'qx_t1': 32.0, 'dt_t0': 4.0, 'kqxy_t0': 0.0, 'sz_t0': 1028.0, 'xd_t0': 3800.0, 'breadth_t0': 0.21292460646230324, 'lbbx_t0': 3.41, 'lbbx_t1': 4.08, 'ztbx_t0': 1.65, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",WATCH,1,96.42857,79.07,31.06,-6.12403,-3.62486,2.5929,96.42857,45.0,100.0,100.0,100.0,0.0,45.0,29.94,20.0,43.56,45.0,0.0,0.00223,-5.08,11.59,19666.0,12.0,,8.0,85.64,45.0,100.0,43.39286,97.53086,95.55556,90.61728,87.65432,95.55556,0.24691,8.39506,39.25926,0.49383,0.49383,12.34568,0.49383,71.92982,30.69307,94.5679,96.42857,19.29825,,13.72549,93.81188,99.0099,91.85185,97.77778
2026-05-21,600863,"{'label': 'cold', 'reason': 'qx=27.0, dt=4.0, kqxy=0.0, breadth=0.21292460646230324', 'qx_t0': 27.0, 'qx_t1': 32.0, 'dt_t0': 4.0, 'kqxy_t0': 0.0, 'sz_t0': 1028.0, 'xd_t0': 3800.0, 'breadth_t0': 0.21292460646230324, 'lbbx_t0': 3.41, 'lbbx_t1': 4.08, 'ztbx_t0': 1.65, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",WATCH,1,89.28571,78.6,38.15,7.43494,4.05405,-3.40502,89.28571,57.04,100.0,97.85,92.82,0.0,45.0,59.2,20.0,43.56,55.0,0.0,0.00186,3.72,4.37,8021.0,14.0,,,27.28,0.0,97.85,50.92857,92.59259,99.25926,90.8642,86.91358,95.06173,0.49383,8.64198,73.82716,0.74074,0.74074,87.16049,0.74074,64.91228,86.63366,88.88889,89.28571,22.80702,,,42.82178,0.24752,91.11111,99.01235
2026-05-21,600481,"{'label': 'cold', 'reason': 'qx=27.0, dt=4.0, kqxy=0.0, breadth=0.21292460646230324', 'qx_t0': 27.0, 'qx_t1': 32.0, 'dt_t0': 4.0, 'kqxy_t0': 0.0, 'sz_t0': 1028.0, 'xd_t0': 3800.0, 'breadth_t0': 0.21292460646230324, 'lbbx_t0': 3.41, 'lbbx_t1': 4.08, 'ztbx_t0': 1.65, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",WATCH,1,80.35714,77.77,39.15,6.69399,4.65116,-1.92308,80.35714,56.08,100.0,100.0,100.0,0.0,45.0,31.96,20.0,43.56,80.0,0.0,0.00249,6.56,0.76,4580.0,24.0,,,3.6,0.0,100.0,45.06429,86.41975,98.51852,91.11111,87.90123,95.80247,0.74074,8.88889,42.71605,0.98765,0.98765,94.07407,0.98765,73.68421,91.08911,83.20988,80.35714,40.35088,,,20.79208,0.49505,92.09877,98.2716
2026-05-21,000417,"{'label': 'cold', 'reason': 'qx=27.0, dt=4.0, kqxy=0.0, breadth=0.21292460646230324', 'qx_t0': 27.0, 'qx_t1': 32.0, 'dt_t0': 4.0, 'kqxy_t0': 0.0, 'sz_t0': 1028.0, 'xd_t0': 3800.0, 'breadth_t0': 0.21292460646230324, 'lbbx_t0': 3.41, 'lbbx_t1': 4.08, 'ztbx_t0': 1.65, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",WATCH,1,77.14286,77.26,32.03,-12.27702,-2.29008,9.98926,77.14286,45.0,100.0,100.0,100.0,0.0,90.0,49.33,20.0,43.56,80.0,0.0,0.00501,-2.31,24.72,4110.0,27.0,,,63.48,45.0,100.0,34.71429,84.19753,95.80247,91.35802,88.14815,96.04938,0.98765,99.75309,64.69136,1.23457,1.23457,94.32099,1.23457,94.73684,53.46535,98.02469,77.14286,45.61404,,,79.70297,99.25743,92.34568,95.55556
2026-05-21,002428,"{'label': 'cold', 'reason': 'qx=27.0, dt=4.0, kqxy=0.0, breadth=0.21292460646230324', 'qx_t0': 27.0, 'qx_t1': 32.0, 'dt_t0': 4.0, 'kqxy_t0': 0.0, 'sz_t0': 1028.0, 'xd_t0': 3800.0, 'breadth_t0': 0.21292460646230324, 'lbbx_t0': 3.41, 'lbbx_t1': 4.08, 'ztbx_t0': 1.65, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",WATCH,1,94.28571,76.93,36.94,-9.6044,-5.87854,3.93795,94.28571,48.39,100.0,96.12,87.07,0.0,45.0,10.13,20.0,43.56,30.0,0.0,0.00174,-7.91,18.88,15233.0,5.0,,10.0,111.67,48.39,96.12,45.62486,96.04938,97.28395,91.60494,85.67901,94.81481,1.23457,9.1358,16.54321,1.48148,1.48148,0.0,1.48148,63.15789,10.89109,96.54321,94.28571,7.01754,,15.68627,99.75248,100.0,90.8642,98.51852
2026-05-21,601678,"{'label': 'cold', 'reason': 'qx=27.0, dt=4.0, kqxy=0.0, breadth=0.21292460646230324', 'qx_t0': 27.0, 'qx_t1': 32.0, 'dt_t0': 4.0, 'kqxy_t0': 0.0, 'sz_t0': 1028.0, 'xd_t0': 3800.0, 'breadth_t0': 0.21292460646230324, 'lbbx_t0': 3.41, 'lbbx_t1': 4.08, 'ztbx_t0': 1.65, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",WATCH,1,85.35714,75.35,0.0,-3.74415,-1.29032,2.68456,85.35714,37.61,100.0,100.0,100.0,0.0,45.0,16.36,20.0,43.56,45.0,0.0,0.00213,-7.02,0.59,5994.0,25.0,,,93.77,37.61,100.0,32.10282,89.87654,92.34568,91.85185,88.39506,96.2963,1.48148,9.38272,22.46914,1.7284,1.7284,12.59259,1.7284,68.42105,16.08911,82.22222,85.35714,42.10526,,,97.27723,96.78218,92.59259,93.08642
2026-05-21,600758,"{'label': 'cold', 'reason': 'qx=27.0, dt=4.0, kqxy=0.0, breadth=0.21292460646230324', 'qx_t0': 27.0, 'qx_t1': 32.0, 'dt_t0': 4.0, 'kqxy_t0': 0.0, 'sz_t0': 1028.0, 'xd_t0': 3800.0, 'breadth_t0': 0.21292460646230324, 'lbbx_t0': 3.41, 'lbbx_t1': 4.08, 'ztbx_t0': 1.65, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",WATCH,1,70.35714,75.3,37.72,4.14938,-2.10084,-6.04839,70.35714,53.76,100.0,100.0,100.0,0.0,45.0,71.5,20.0,43.56,45.0,0.0,0.00321,2.9,0.0,3007.0,50.0,,,30.56,0.0,100.0,37.824,79.50617,98.02469,92.09877,88.64198,96.54321,1.7284,9.62963,82.46914,1.97531,1.97531,12.83951,1.97531,82.45614,83.16832,0.0,70.35714,84.21053,,,47.0297,0.74257,92.83951,96.2963
2026-05-21,600903,"{'label': 'cold', 'reason': 'qx=27.0, dt=4.0, kqxy=0.0, breadth=0.21292460646230324', 'qx_t0': 27.0, 'qx_t1': 32.0, 'dt_t0': 4.0, 'kqxy_t0': 0.0, 'sz_t0': 1028.0, 'xd_t0': 3800.0, 'breadth_t0': 0.21292460646230324, 'lbbx_t0': 3.41, 'lbbx_t1': 4.08, 'ztbx_t0': 1.65, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",WATCH,1,79.28571,75.14,0.0,7.12106,12.16362,4.3043,79.28571,43.41,100.0,100.0,100.0,0.0,45.0,90.55,20.0,43.56,55.0,0.0,0.00532,1.63,0.0,4495.0,31.0,,,30.37,43.41,100.0,34.41793,85.67901,94.81481,92.34568,88.88889,96.79012,1.97531,9.87654,93.08642,2.22222,2.22222,87.40741,2.22222,96.49123,80.19802,0.24691,79.28571,52.63158,,,46.28713,98.51485,93.08642,95.30864
